                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1002,                 4.4953,                 1.6489,                      0,                      0,                      0,                      0,                0.99477,                 4.0251,                 1.5647,             7.2391e-05,             7.2391e-05,             7.2391e-05
                      2,                0.79927,                 4.1658,                 1.3858,                0.01185,                0.34146,                 0.0765,                0.05092,                 1.2988,                 3.7734,                 2.0011,             0.00014494,             0.00014494,             0.00014494
                      3,                0.74868,                 3.9031,                 1.3289,                0.45214,                0.18293,                0.11848,                0.05353,                 1.4925,                 3.3413,                 2.7465,             0.00021603,             0.00021603,             0.00021603
                      4,                0.75021,                  3.577,                 1.3241,                0.63313,                0.07317,                0.12395,                0.07036,                 1.5169,                 3.2577,                 2.5878,             0.00021541,             0.00021541,             0.00021541
                      5,                0.75586,                 3.2266,                 1.2971,                0.15215,                0.67073,                0.21535,                0.14568,                 1.3748,                 3.0978,                 2.7885,             0.00021541,             0.00021541,             0.00021541
                      6,                0.73157,                  3.017,                 1.2748,                0.52258,                0.21951,                0.25359,                0.16553,                 1.4517,                 2.8513,                 3.0441,             0.00021321,             0.00021321,             0.00021321
                      7,                0.73725,                 2.7795,                 1.2823,                  0.822,                0.21915,                0.31494,                0.23211,                 1.3526,                 2.6989,                 2.9913,             0.00021101,             0.00021101,             0.00021101
                      8,                0.71925,                 2.5733,                 1.2551,                0.41253,                0.22007,                0.27548,                 0.1575,                 1.4292,                 2.9815,                  2.312,             0.00020881,             0.00020881,             0.00020881
                      9,                 0.7105,                 2.3737,                 1.2469,                0.62938,                0.29268,                0.35163,                0.24465,                 1.0702,                 2.7205,                 1.9925,             0.00020662,             0.00020662,             0.00020662
                     10,                0.68409,                 2.1786,                 1.2322,                0.58999,                0.17656,                 0.3756,                0.24271,                 1.3619,                 2.7977,                 2.5726,             0.00020442,             0.00020442,             0.00020442
                     11,                0.69989,                 2.0674,                 1.2337,                0.60293,                0.28196,                0.33489,                0.22608,                 1.0902,                 2.8884,                 1.7928,             0.00020222,             0.00020222,             0.00020222
                     12,                0.68517,                 1.9391,                 1.2241,                0.58501,                0.35366,                0.37608,                0.24478,                 1.2913,                 2.6472,                 2.5265,             0.00020002,             0.00020002,             0.00020002
                     13,                0.66172,                  1.795,                  1.208,                0.63149,                0.41004,                0.46835,                0.35472,                 1.1746,                 2.3779,                 2.3576,             0.00019782,             0.00019782,             0.00019782
                     14,                0.65312,                 1.6972,                 1.1978,                0.67958,                 0.2561,                0.36018,                0.26506,                 1.1112,                 2.7898,                  2.167,             0.00019563,             0.00019563,             0.00019563
                     15,                0.65607,                 1.6439,                 1.1946,                0.19085,                0.56098,                0.30746,                0.20966,                 1.1767,                 2.8678,                 2.2353,             0.00019343,             0.00019343,             0.00019343
